timestamp,esgScore,governanceScore,environmentScore,socialScore,symbol
2021-03-01,18.05,9.05,0.06,8.93,FME
2021-05-01,18.05,9.05,0.06,8.93,FME
2021-09-01,18.18,8.92,0.06,9.19,FME
2022-02-01,18.18,8.92,0.06,9.19,FME
2022-05-01,17.68,8.43,0.06,9.19,FME
2022-08-01,16.95,6.93,0.05,9.98,FME
2023-09-01,14.36,6.51,0.02,7.84,FME
2021-01-01,15.9,8.79,0.87,6.24,ALV
2021-02-01,15.9,8.79,0.87,6.24,ALV
2021-03-01,14.77,8.66,0.77,5.35,ALV
2021-05-01,14.77,8.66,0.77,5.35,ALV
2021-09-01,15.93,8.73,0.77,6.43,ALV
2022-02-01,15.92,8.73,0.77,6.43,ALV
2022-05-01,16.72,8.18,0.52,8.02,ALV
2022-08-01,16.72,8.18,0.52,8.02,ALV
2023-09-01,13.27,6.38,0.64,6.24,ALV
2021-01-01,17.04,4.87,7.49,4.68,IFX
2021-02-01,17.04,4.87,7.49,4.68,IFX
2021-03-01,17.07,4.87,7.49,4.71,IFX
2021-05-01,17.46,4.87,7.87,4.71,IFX
2021-09-01,17.46,4.87,7.87,4.71,IFX
2022-02-01,17.89,4.79,8.1,5.0,IFX
2022-05-01,17.89,4.79,8.1,5.0,IFX
2022-08-01,17.89,4.79,8.1,5.0,IFX
2023-01-01,18.12,5.02,8.1,5.0,IFX
2023-09-01,14.81,4.03,5.87,4.92,IFX
2021-01-01,27.12,12.3,6.93,7.89,BMW
2021-02-01,27.12,12.3,6.93,7.89,BMW
2021-03-01,27.12,12.3,6.93,7.89,BMW
2021-05-01,27.12,12.3,6.93,7.89,BMW
2021-09-01,23.38,9.14,6.71,7.53,BMW
2022-02-01,23.84,9.17,7.16,7.52,BMW
2022-05-01,23.84,9.17,7.16,7.52,BMW
2022-08-01,23.14,9.17,6.46,7.52,BMW
2023-09-01,24.75,8.78,4.92,11.05,BMW
2021-01-01,16.17,10.38,0.34,5.44,HNR1
2021-02-01,16.17,10.38,0.34,5.44,HNR1
2021-03-01,16.24,10.45,0.34,5.44,HNR1
2021-05-01,16.24,10.45,0.34,5.44,HNR1
2021-09-01,16.24,10.45,0.34,5.44,HNR1
2022-02-01,17.6,9.75,0.97,6.88,HNR1
2022-05-01,17.58,9.73,0.97,6.88,HNR1
2022-08-01,17.32,9.77,0.66,6.88,HNR1
2023-01-01,17.28,9.73,0.66,6.88,HNR1
